http://vizier.u-strasbg.fr/viz-bin//asu-txt?&-source=VIII/100/gleamegc&-c.rs=2.000000&-out.max=100&DEJ2000=<-20&DEJ2000=>-40&RAJ2000=>18&Fint151=>10
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-25T22:05:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:,cds-question@unistra.fr
#
#
#Coosys,J2000:,eq_FK5 J2000
#INFO,votable-version=1.99+ (14-Oct-2013),
#INFO,-ref=VOTx4673,
#INFO,-out.max=100,
#INFO,queryParameters=8,
#-oc.form=D.
#-source=VIII/100/gleamegc
#-c.rs=2.000000
#-out.max=100
#DEJ2000=<-20
#DEJ2000=>-40
#RAJ2000=>18
#Fint151=>10
#

#RESOURCE=yCat_8100
#Name: VIII/100
#Title: GaLactic and Extragalactic All-sky MWA survey (Hurley-Walker+, 2016)
#Table,VIII_100_gleamegc:
#Name: VIII/100/gleamegc
#Title: GLEAM EGC catalog, version 2
#Column,GLEAM,(A14),GLEAM name (JHHMMSS+DDMMSS) (Name),[ucd=meta.id;meta.main]
#Column,RAJ2000,(F10.6),Right Ascension J2000 (RAJ2000),[ucd=pos.eq.ra]
#Column,DEJ2000,(F10.6),Declination J2000 (DEJ2000),[ucd=pos.eq.dec]
#Column,Fpwide,(F10.6),Peak flux in wide (170-231MHz) image (peak_flux_wide),[ucd=phot.flux.density]
#Column,Fintwide,(F10.6),Integrated flux in wide (170-231MHz) image (int_flux_wide),[ucd=phot.flux]
#Column,eabsFpct,(I2),Percent error in absolute flux scale - all frequencies (err_abs_flux_pct),[ucd=stat.error]
#Column,efitFpct,(I1),Percent error on internal flux scale - all frequencies (err_fit_flux_pct),[ucd=stat.error]
#Column,Fp076,(F11.6),? Peak flux in 072-080MHz image (peak_flux_076),[ucd=phot.flux.density]
#Column,Fint076,(F11.6),? Integrated flux in 072-080MHz image (int_flux_076),[ucd=phot.flux]
#Column,Fp084,(F11.6),? Peak flux in 080-088MHz image (peak_flux_084),[ucd=phot.flux.density]
#Column,Fint084,(F11.6),? Integrated flux in 080-088MHz image (int_flux_084),[ucd=phot.flux]
#Column,Fp092,(F11.6),? Peak flux in 088-095MHz image (peak_flux_092),[ucd=phot.flux.density]
#Column,Fint092,(F11.6),? Integrated flux in 088-095MHz image (int_flux_092),[ucd=phot.flux]
#Column,Fp099,(F11.6),? Peak flux in 095-103MHz image (peak_flux_099),[ucd=phot.flux.density]
#Column,Fint099,(F11.6),? Integrated flux in 095-103MHz image (int_flux_099),[ucd=phot.flux]
#Column,Fp107,(F11.6),? Peak flux in 103-111MHz image (peak_flux_107),[ucd=phot.flux.density]
#Column,Fint107,(F11.6),? Integrated flux in 103-111MHz image (int_flux_107),[ucd=phot.flux]
#Column,Fp115,(F11.6),? Peak flux in 111-118MHz image (peak_flux_115),[ucd=phot.flux.density]
#Column,Fint115,(F11.6),? Integrated flux in 111-118MHz image (int_flux_115),[ucd=phot.flux]
#Column,Fp122,(F11.6),? Peak flux in 118-126MHz image (peak_flux_122),[ucd=phot.flux.density]
#Column,Fint122,(F11.6),? Integrated flux in 118-126MHz image (int_flux_122),[ucd=phot.flux]
#Column,Fp130,(F11.6),? Peak flux in 126-134MHz image (peak_flux_130),[ucd=phot.flux.density]
#Column,Fint130,(F11.6),? Integrated flux in 126-134MHz image (int_flux_130),[ucd=phot.flux]
#Column,Fp143,(F11.6),? Peak flux in 139-147MHz image (peak_flux_143),[ucd=phot.flux.density]
#Column,Fint143,(F11.6),? Integrated flux in 139-147MHz image (int_flux_143),[ucd=phot.flux]
#Column,Fp151,(F11.6),? Peak flux in 147-154MHz image (peak_flux_151),[ucd=phot.flux.density]
#Column,Fint151,(F11.6),? Integrated flux in 147-154MHz image (int_flux_151),[ucd=phot.flux]
#Column,Fp158,(F11.6),? Peak flux in 154-162MHz image (peak_flux_158),[ucd=phot.flux.density]
#Column,Fint158,(F11.6),? Integrated flux in 154-162MHz image (int_flux_158),[ucd=phot.flux]
#Column,Fp166,(F11.6),? Peak flux in 162-170MHz image (peak_flux_166),[ucd=phot.flux.density]
#Column,Fint166,(F11.6),? Integrated flux in 162-170MHz image (int_flux_166),[ucd=phot.flux]
#Column,Fp174,(F11.6),? Peak flux in 170-177MHz image (peak_flux_174),[ucd=phot.flux.density]
#Column,Fint174,(F11.6),? Integrated flux in 170-177MHz image (int_flux_174),[ucd=phot.flux]
#Column,Fp181,(F11.6),? Peak flux in 177-185MHz image (peak_flux_181),[ucd=phot.flux.density]
#Column,Fint181,(F11.6),? Integrated flux in 177-185MHz image (int_flux_181),[ucd=phot.flux]
#Column,Fp189,(F11.6),? Peak flux in 185-193MHz image (peak_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint189,(F11.6),? Integrated flux in 185-193MHz image (int_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp197,(F11.6),? Peak flux in 193-200MHz image (peak_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint197,(F11.6),? Integrated flux in 193-200MHz image (int_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp204,(F11.6),? Peak flux in 200-208MHz image (peak_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint204,(F11.6),? Integrated flux in 200-208MHz image (int_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp212,(F11.6),? Peak flux in 208-216MHz image (peak_flux_212),[ucd=phot.flux.density]
#Column,Fint212,(F11.6),? Integrated flux in 208-216MHz image (int_flux_212),[ucd=phot.flux]
#Column,Fp220,(F11.6),? Peak flux in 216-223MHz image (peak_flux_220),[ucd=phot.flux.density]
#Column,Fint220,(F11.6),? Integrated flux in 216-223MHz image (int_flux_220),[ucd=phot.flux]
#Column,Fp227,(F11.6),? Peak flux in 223-231MHz image (peak_flux_227),[ucd=phot.flux.density]
#Column,Fint227,(F11.6),? Integrated flux in 223-231MHz image (int_flux_227),[ucd=phot.flux]
#Column,alpha,(F9.6),? Fitted spectral index (alpha),[ucd=spect.index;meta.modelled]
#Column,Fintfit200,(F10.6),? Fitted 200MHz integrated flux density (int_flux_fit_200),[ucd=stat.fit;phot.flux]
GLEAM,RAJ2000,DEJ2000,Fpwide,Fintwide,eabsFpct,efitFpct,Fp076,Fint076,Fp084,Fint084,Fp092,Fint092,Fp099,Fint099,Fp107,Fint107,Fp115,Fint115,Fp122,Fint122,Fp130,Fint130,Fp143,Fint143,Fp151,Fint151,Fp158,Fint158,Fp166,Fint166,Fp174,Fint174,Fp181,Fint181,Fp189,Fint189,Fp197,Fint197,Fp204,Fint204,Fp212,Fint212,Fp220,Fint220,Fp227,Fint227,alpha,Fintfit200
 ,deg,deg,Jy/beam,Jy,%,%,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy, ,Jy
--------------,----------,----------,----------,----------,--,-,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,---------,----------
J222946-382358,337.445099,-38.399624, 11.180482, 10.774709, 8,2,  10.824969,  10.747256,  11.092966,  10.995176,  11.565990,  11.447358,  11.805685,  11.664843,  12.112197,  11.939165,  12.223958,  12.024579,  12.326631,  12.100877,  12.319308,  12.070115,  12.158051,  11.854892,  12.013115,  11.678916,  12.055971,  11.692669,  11.842696,  11.452119,  11.934367,  11.508657,  11.923866,  11.472400,  11.552594,  11.072490,  11.491920,  10.988103,  11.201391,  10.668914,  11.174311,  10.611546,  10.796096,  10.206836,  10.885361,  10.278890,-0.072936, 11.050922
J230223-371805,345.599854,-37.301403, 10.229518,  9.748587, 8,2,  13.809573,  13.674416,  13.570859,  13.410388,  13.621730,  13.432948,  13.346595,  13.132861,  13.151171,  12.897844,  12.849749,  12.567327,  12.618945,  12.305196,  12.175199,  11.837833,  11.802456,  11.405021,  11.532977,  11.103902,  11.328227,  10.865819,  11.060606,  10.567568,  10.825003,  10.300086,  10.591685,  10.035052,  10.413529,   9.827278,  10.280204,   9.667553,   9.909170,   9.263854,   9.792334,   9.114797,   9.547618,   8.817739,   9.484019,   8.737676,-0.438720,  9.572384
J235701-344532,359.255005,-34.758972, 15.674570, 16.732759, 8,2,  46.815418,  47.489044,  42.087986,  42.813614,  38.467297,  39.240711,  35.020191,  35.833897,  32.206711,  33.107433,  29.720781,  30.672756,  27.514774,  28.508501,  25.659025,  26.679985,  22.754988,  23.863590,  21.294538,  22.438238,  20.222326,  21.410429,  19.085672,  20.294739,  17.736635,  18.972385,  16.769302,  18.034786,  15.962698,  17.246553,  15.227304,  16.526131,  14.550220,  15.891506,  13.806770,  15.176960,  13.367850,  14.777856,  12.794162,  14.210184,-1.120121, 16.326697
J211810-301913,319.543945,-30.320288, 10.394707, 10.011571, 8,2,  20.327614,  20.170080,  18.675079,  18.497974,  17.725647,  17.529551,  16.609039,  16.396235,  15.687675,  15.447314,  14.887487,  14.624100,  14.268628,  13.986561,  13.657826,  13.360749,  13.015083,  12.667650,  12.462829,  12.093854,  12.068120,  11.678087,  11.607096,  11.201010,  11.275727,  10.848200,  10.960342,  10.516102,  10.706778,  10.238470,  10.348124,   9.862680,   9.995407,   9.472618,   9.700090,   9.163630,   9.596345,   9.026071,   9.435632,   8.839698,-0.749828,  9.720024
J210138-280019,315.409790,-28.005381,  4.157218, 14.203708, 8,2,  18.399672,  29.564157,  15.559340,  26.772434,  13.349815,  24.473576,  11.608691,  22.567831,  10.335207,  21.814001,   9.133862,  20.570200,   8.206715,  19.561258,   7.312555,  18.385769,   6.280843,  17.517792,   5.706960,  16.917482,   5.157632,  16.127230,   4.670643,  15.367707,   4.330786,  15.004642,   4.011599,  14.558884,   3.703544,  14.131811,   3.376245,  13.518953,   3.219917,  13.764286,   2.977048,  13.277287,   2.779689,  12.951084,   2.530029,  12.489292,-0.758778, 13.604956
J203316-225314,308.319031,-22.887325,  8.794326,  9.393615, 8,2,  20.037994,  20.321335,  18.355104,  18.671976,  17.001831,  17.344355,  15.817190,  16.182081,  14.653915,  15.048965,  13.905948,  14.336478,  13.109126,  13.558379,  12.450440,  12.922935,  12.000881,  12.548642,  11.210114,  11.788921,  10.743141,  11.340063,  10.192049,  10.809068,   9.744781,  10.394361,   9.427487,  10.109958,   9.059363,   9.773513,   8.730746,   9.462580,   8.445378,   9.211726,   8.097169,   8.881005,   7.910349,   8.724161,   7.473607,   8.296467,-0.792854,  9.328351
J231956-272735,349.984528,-27.459827,  7.713877, 11.333347, 8,2,  22.661497,  25.442511,  20.370230,  23.343298,  18.478731,  21.616467,  16.618282,  19.849789,  15.079206,  18.483393,  13.838531,  17.359976,  12.682179,  16.287239,  11.687594,  15.327374,  10.259747,  14.124672,   9.801099,  13.647914,   9.006610,  12.939615,   8.426260,  12.404482,   7.976464,  11.974070,   7.531388,  11.526796,   7.150116,  11.212663,   6.747055,  10.745150,   6.453842,  10.713287,   6.281104,  10.501898,   5.673854,  10.018286,   5.572907,   9.773815,-0.878314, 10.710220
J210722-252556,316.843048,-25.432241, 13.811202, 25.925882, 8,2,  44.560211,  53.045296,  39.481617,  48.530926,  35.543171,  45.096786,  32.175869,  42.091194,  28.225346,  38.550079,  26.032455,  36.879696,  23.669989,  34.686085,  21.294659,  32.340771,  19.734409,  32.109245,  18.330753,  30.970642,  16.937794,  29.721411,  15.656680,  28.489576,  14.783806,  27.999245,  13.791921,  27.058865,  12.821965,  26.062050,  11.856894,  24.956146,  11.612611,  25.634027,  10.878345,  24.789883,  10.286220,  24.285446,   9.520343,  23.483719,-0.720895, 25.245507
J210724-252953,316.852081,-25.498209,  6.231584, 12.102251, 8,2,  20.807865,  25.052685,  18.250727,  22.732883,  16.406778,  21.132341,  14.696712,  19.550539,  12.870871,  17.916708,  11.839055,  17.126984,  10.718580,  16.067087,   9.731859,  15.145267,   8.833210,  14.775223,   8.116385,  14.122478,   7.573530,  13.709275,   6.967839,  13.099595,   6.608677,  12.953364,   6.161305,  12.528790,   5.737071,  12.103511,   5.299935,  11.593954,   5.212854,  11.980308,   4.861695,  11.547943,   4.579492,  11.283752,   4.273555,  11.016129,-0.727907, 11.702555
J211636-205545,319.151306,-20.929369, 12.301056, 12.560181, 8,2,  25.767145,  25.876537,  23.805195,  23.927595,  22.451468,  22.587904,  21.046665,  21.193344,  19.683743,  19.845682,  18.986750,  19.163660,  18.065201,  18.254761,  17.093739,  17.295120,  16.372240,  16.605171,  15.652385,  15.897591,  15.115911,  15.374387,  14.423504,  14.692175,  13.923585,  14.211019,  13.440613,  13.742211,  13.035532,  13.348472,  12.707022,  13.030310,  12.287616,  12.629937,  11.789924,  12.144317,  11.651530,  12.020102,  11.129212,  11.506789,-0.723692, 12.810942
