http://vizier.u-strasbg.fr/viz-bin//asu-txt?&-source=VIII/100/gleamegc&-c.rs=2.000000&-out.max=100&DEJ2000=<-20&DEJ2000=>-40&RAJ2000=<7&Fint151=>10
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-25T22:10:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:,cds-question@unistra.fr
#
#
#Coosys,J2000:,eq_FK5 J2000
#INFO,votable-version=1.99+ (14-Oct-2013),
#INFO,-ref=VOTx19094,
#INFO,-out.max=100,
#INFO,queryParameters=8,
#-oc.form=D.
#-source=VIII/100/gleamegc
#-c.rs=2.000000
#-out.max=100
#DEJ2000=<-20
#DEJ2000=>-40
#RAJ2000=<7
#Fint151=>10
#

#RESOURCE=yCat_8100
#Name: VIII/100
#Title: GaLactic and Extragalactic All-sky MWA survey (Hurley-Walker+, 2016)
#Table,VIII_100_gleamegc:
#Name: VIII/100/gleamegc
#Title: GLEAM EGC catalog, version 2
#Column,GLEAM,(A14),GLEAM name (JHHMMSS+DDMMSS) (Name),[ucd=meta.id;meta.main]
#Column,RAJ2000,(F10.6),Right Ascension J2000 (RAJ2000),[ucd=pos.eq.ra]
#Column,DEJ2000,(F10.6),Declination J2000 (DEJ2000),[ucd=pos.eq.dec]
#Column,Fpwide,(F10.6),Peak flux in wide (170-231MHz) image (peak_flux_wide),[ucd=phot.flux.density]
#Column,Fintwide,(F10.6),Integrated flux in wide (170-231MHz) image (int_flux_wide),[ucd=phot.flux]
#Column,eabsFpct,(I2),Percent error in absolute flux scale - all frequencies (err_abs_flux_pct),[ucd=stat.error]
#Column,efitFpct,(I1),Percent error on internal flux scale - all frequencies (err_fit_flux_pct),[ucd=stat.error]
#Column,Fp076,(F11.6),? Peak flux in 072-080MHz image (peak_flux_076),[ucd=phot.flux.density]
#Column,Fint076,(F11.6),? Integrated flux in 072-080MHz image (int_flux_076),[ucd=phot.flux]
#Column,Fp084,(F11.6),? Peak flux in 080-088MHz image (peak_flux_084),[ucd=phot.flux.density]
#Column,Fint084,(F11.6),? Integrated flux in 080-088MHz image (int_flux_084),[ucd=phot.flux]
#Column,Fp092,(F11.6),? Peak flux in 088-095MHz image (peak_flux_092),[ucd=phot.flux.density]
#Column,Fint092,(F11.6),? Integrated flux in 088-095MHz image (int_flux_092),[ucd=phot.flux]
#Column,Fp099,(F11.6),? Peak flux in 095-103MHz image (peak_flux_099),[ucd=phot.flux.density]
#Column,Fint099,(F11.6),? Integrated flux in 095-103MHz image (int_flux_099),[ucd=phot.flux]
#Column,Fp107,(F11.6),? Peak flux in 103-111MHz image (peak_flux_107),[ucd=phot.flux.density]
#Column,Fint107,(F11.6),? Integrated flux in 103-111MHz image (int_flux_107),[ucd=phot.flux]
#Column,Fp115,(F11.6),? Peak flux in 111-118MHz image (peak_flux_115),[ucd=phot.flux.density]
#Column,Fint115,(F11.6),? Integrated flux in 111-118MHz image (int_flux_115),[ucd=phot.flux]
#Column,Fp122,(F11.6),? Peak flux in 118-126MHz image (peak_flux_122),[ucd=phot.flux.density]
#Column,Fint122,(F11.6),? Integrated flux in 118-126MHz image (int_flux_122),[ucd=phot.flux]
#Column,Fp130,(F11.6),? Peak flux in 126-134MHz image (peak_flux_130),[ucd=phot.flux.density]
#Column,Fint130,(F11.6),? Integrated flux in 126-134MHz image (int_flux_130),[ucd=phot.flux]
#Column,Fp143,(F11.6),? Peak flux in 139-147MHz image (peak_flux_143),[ucd=phot.flux.density]
#Column,Fint143,(F11.6),? Integrated flux in 139-147MHz image (int_flux_143),[ucd=phot.flux]
#Column,Fp151,(F11.6),? Peak flux in 147-154MHz image (peak_flux_151),[ucd=phot.flux.density]
#Column,Fint151,(F11.6),? Integrated flux in 147-154MHz image (int_flux_151),[ucd=phot.flux]
#Column,Fp158,(F11.6),? Peak flux in 154-162MHz image (peak_flux_158),[ucd=phot.flux.density]
#Column,Fint158,(F11.6),? Integrated flux in 154-162MHz image (int_flux_158),[ucd=phot.flux]
#Column,Fp166,(F11.6),? Peak flux in 162-170MHz image (peak_flux_166),[ucd=phot.flux.density]
#Column,Fint166,(F11.6),? Integrated flux in 162-170MHz image (int_flux_166),[ucd=phot.flux]
#Column,Fp174,(F11.6),? Peak flux in 170-177MHz image (peak_flux_174),[ucd=phot.flux.density]
#Column,Fint174,(F11.6),? Integrated flux in 170-177MHz image (int_flux_174),[ucd=phot.flux]
#Column,Fp181,(F11.6),? Peak flux in 177-185MHz image (peak_flux_181),[ucd=phot.flux.density]
#Column,Fint181,(F11.6),? Integrated flux in 177-185MHz image (int_flux_181),[ucd=phot.flux]
#Column,Fp189,(F11.6),? Peak flux in 185-193MHz image (peak_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint189,(F11.6),? Integrated flux in 185-193MHz image (int_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp197,(F11.6),? Peak flux in 193-200MHz image (peak_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint197,(F11.6),? Integrated flux in 193-200MHz image (int_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp204,(F11.6),? Peak flux in 200-208MHz image (peak_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint204,(F11.6),? Integrated flux in 200-208MHz image (int_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp212,(F11.6),? Peak flux in 208-216MHz image (peak_flux_212),[ucd=phot.flux.density]
#Column,Fint212,(F11.6),? Integrated flux in 208-216MHz image (int_flux_212),[ucd=phot.flux]
#Column,Fp220,(F11.6),? Peak flux in 216-223MHz image (peak_flux_220),[ucd=phot.flux.density]
#Column,Fint220,(F11.6),? Integrated flux in 216-223MHz image (int_flux_220),[ucd=phot.flux]
#Column,Fp227,(F11.6),? Peak flux in 223-231MHz image (peak_flux_227),[ucd=phot.flux.density]
#Column,Fint227,(F11.6),? Integrated flux in 223-231MHz image (int_flux_227),[ucd=phot.flux]
#Column,alpha,(F9.6),? Fitted spectral index (alpha),[ucd=spect.index;meta.modelled]
#Column,Fintfit200,(F10.6),? Fitted 200MHz integrated flux density (int_flux_fit_200),[ucd=stat.fit;phot.flux]
GLEAM,RAJ2000,DEJ2000,Fpwide,Fintwide,eabsFpct,efitFpct,Fp076,Fint076,Fp084,Fint084,Fp092,Fint092,Fp099,Fint099,Fp107,Fint107,Fp115,Fint115,Fp122,Fint122,Fp130,Fint130,Fp143,Fint143,Fp151,Fint151,Fp158,Fint158,Fp166,Fint166,Fp174,Fint174,Fp181,Fint181,Fp189,Fint189,Fp197,Fint197,Fp204,Fint204,Fp212,Fint212,Fp220,Fint220,Fp227,Fint227,alpha,Fintfit200
 ,deg,deg,Jy/beam,Jy,%,%,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy,Jy/beam,Jy, ,Jy
--------------,----------,----------,----------,----------,--,-,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,---------,----------
J003826-385949,009.611779,-38.997051,  9.101776,  8.771684, 8,2,  20.440052,  20.291605,  19.101667,  18.936441,  17.899981,  17.717978,  16.774452,  16.579428,  15.930286,  15.707896,  15.037680,  14.798330,  14.239887,  13.987495,  13.534029,  13.266439,  12.284935,  11.989705,  11.661074,  11.349180,  11.098003,  10.772256,  10.596075,  10.257515,  10.287165,   9.922890,   9.913272,   9.529077,   9.599793,   9.201355,   9.337969,   8.921222,   8.990796,   8.554493,   8.714948,   8.262958,   8.467730,   7.997284,   8.319101,   7.831717,-0.903129,  8.774027
J064811-395704,102.048637,-39.951260,  8.499104, 10.490142, 8,2,  23.682299,  25.018559,  21.040813,  22.479046,  19.208944,  20.712704,  17.335371,  18.883007,  16.490843,  18.249348,  15.385795,  17.213896,  14.249351,  16.147327,  13.362681,  15.297877,  11.921832,  13.998976,  10.992775,  13.140318,  10.349808,  12.533490,   9.824649,  12.022211,   9.192326,  11.470306,   8.685334,  10.984886,   8.353677,  10.682073,   7.990914,  10.347960,   7.681846,  10.099997,   7.346707,   9.792393,   7.029307,   9.503849,   6.894699,   9.362528,-0.907691, 10.249059
J013411-362913,023.548635,-36.487156,  5.673209, 15.223774, 8,2,  22.795950,  30.672148,  20.117800,  28.518112,  17.808420,  26.551136,  15.857703,  24.805550,  14.381677,  24.153057,  12.956629,  22.904594,  11.714605,  21.815451,  10.617374,  20.785353,   8.996002,  19.437531,   8.115534,  18.547646,   7.498572,  17.987356,   6.854500,  17.275124,   6.187861,  16.678038,   5.716652,  16.226549,   5.180478,  15.591277,   4.819276,  15.208370,   4.485075,  14.866944,   4.229823,  14.733373,   3.918011,  14.302155,   3.681679,  13.999275,-0.724417, 15.176910
J013332-362850,023.384743,-36.480556,  3.127287, 11.326577, 8,2,  14.228576,  22.101923,  12.422248,  20.701685,  10.873883,  19.365751,   9.548216,  18.104265,   8.409123,  17.477859,   7.491182,  16.585737,   6.688816,  15.788610,   6.013598,  15.079919,   5.032786,  14.206903,   4.494759,  13.559870,   4.103630,  13.086088,   3.724271,  12.578581,   3.378970,  12.321962,   3.088365,  11.940120,   2.791219,  11.529583,   2.591813,  11.287048,   2.397336,  11.024999,   2.247549,  10.915159,   2.058956,  10.526143,   1.941757,  10.379532,-0.700437, 11.192682
J062707-352908,096.780914,-35.485802, 10.576077, 13.883532, 8,2,  26.539137,  28.361008,  23.990547,  25.985069,  22.105772,  24.230087,  20.454639,  22.695189,  19.211756,  21.750244,  18.019224,  20.703520,  16.725670,  19.521799,  15.792153,  18.686676,  14.182386,  17.348389,  13.292158,  16.577374,  12.603848,  16.001230,  11.924949,  15.386100,  11.353173,  14.980849,  10.854137,  14.592708,  10.344145,  14.129680,   9.952896,  13.807356,   9.523541,  13.517651,   9.209252,  13.310859,   8.842900,  13.028362,   8.695015,  12.909391,-0.730916, 13.694252
J002430-292847,006.125636,-29.479946, 13.162932, 12.800106, 8,2,  28.342505,  28.181208,  26.626820,  26.447622,  24.857874,  24.660736,  23.247135,  23.033569,  22.235407,  21.989830,  20.761841,  20.497055,  19.660330,  19.380600,  18.754906,  18.461283,  16.874971,  16.541950,  16.444601,  16.102541,  15.614039,  15.246136,  14.942883,  14.562051,  14.705710,  14.292415,  14.099209,  13.669603,  13.699511,  13.255162,  13.365525,  12.900857,  12.845773,  12.359217,  12.465667,  11.966563,  12.172287,  11.650669,  11.745522,  11.211380,-0.857146, 12.601302
J052257-362727,080.741081,-36.457577, 47.969376, 47.613247, 8,2,  86.091049,  85.960663,  80.040283,  79.891502,  76.130722,  75.968559,  72.707443,  72.527641,  70.510071,  70.297455,  66.877403,  66.649315,  64.534172,  64.292374,  61.619900,  61.359047,  58.510826,  58.209309,  56.263756,  55.942432,  54.907391,  54.566269,  53.299988,  52.939915,  51.617439,  51.239170,  50.340069,  49.942623,  49.125145,  48.709274,  47.688206,  47.252117,  46.440922,  45.982204,  46.145226,  45.658382,  45.494995,  44.988441,  44.411152,  43.883160,-0.617418, 47.159635
J042940-363050,067.420143,-36.514114, 13.798425, 13.573302, 8,2,  31.436131,  31.334904,  29.023405,  28.911243,  26.871058,  26.747793,  25.206932,  25.074636,  23.703814,  23.549149,  22.363503,  22.198196,  21.040443,  20.866188,  19.966957,  19.784719,  18.433580,  18.225813,  17.610016,  17.393532,  16.834042,  16.606745,  16.155785,  15.918832,  15.538292,  15.290242,  14.988070,  14.727457,  14.347853,  14.077694,  13.948466,  13.668642,  13.522781,  13.230102,  13.222280,  12.913777,  12.871796,  12.555032,  12.476595,  12.149351,-0.875704, 13.542338
J002549-260211,006.454782,-26.036501, 19.575825, 17.666073, 8,2,  15.384690,  15.061270,  16.194479,  15.784599,  16.713835,  16.220310,  17.233860,  16.646532,  17.768675,  17.051594,  18.079128,  17.244328,  18.308634,  17.368975,  18.454334,  17.398355,  18.328341,  17.006033,  18.994436,  17.557560,  18.780787,  17.198650,  18.791603,  17.066378,  19.439938,  17.496389,  19.411125,  17.312696,  19.496378,  17.220854,  19.556210,  17.130154,  19.837872,  17.158226,  19.799370,  16.971468,  19.355051,  16.276831,  19.167135,  15.964680, 0.049701, 17.121948
J033846-352238,054.694252,-35.377464,  6.413935,  8.008946, 8,2,  17.329554,  18.181828,  15.637488,  16.576824,  14.219016,  15.230996,  13.134024,  14.215975,  12.298978,  13.538955,  11.387691,  12.700183,  10.696980,  12.067172,  10.085456,  11.524752,   8.939975,  10.474387,   8.437565,  10.027686,   8.018058,   9.669085,   7.573561,   9.265215,   7.205053,   8.981648,   6.858049,   8.688492,   6.498322,   8.355095,   6.271013,   8.192939,   5.963260,   7.914405,   5.736561,   7.762927,   5.498584,   7.554441,   5.200918,   7.291209,-0.826200,  8.037966
